analysis Fp 100;150;200, baseline, 2026-04-15 11_23_56.scan
Wavelength ( nm );Absorbance
450; -0,029431309551000595
449,573333333; -0,029925720766186714
449,146666667; -0,029740139842033386
448,72; -0,032870709896087383
448,293333333; -0,030885457992553777
447,866666667; -0,031392950564622657
447,44; -0,029751207679510366
447,013333333; -0,031638786196708721
446,586666667; -0,031937990337610203
446,16; -0,031631432473658877
445,733333333; -0,029242722317577356
445,306666667; -0,032794609665870528
444,88; -0,032266370952128927
444,453333333; -0,030631609261036561
444,026666667; -0,03303899988532083
443,6; -0,033654689788818415
443,173333333; -0,033793963491915685
442,746666667; -0,031366750597954463
442,32; -0,03303982317447679
441,893333333; -0,03345261514186857
441,466666667; -0,033406440168618733
441,04; -0,032347522675992516
440,613333333; -0,03508282080292751
440,186666667; -0,036010745912787974
439,76; -0,031643010675906712
439,333333333; -0,030851168558003208
438,906666667; -0,034021701663734583
438,48; -0,037874490022656609
438,053333333; -0,03383247181773015
437,626666667; -0,031272429972890085
437,2; -0,035840492695570179
436,773333333; -0,03611846268176986
436,346666667; -0,035424001514910444
435,92; -0,03391475230455529
435,493333333; -0,035544048994781544
435,066666667; -0,037992190569637783
434,64; -0,036209989339111501
434,213333333; -0,034044183790687091
433,786666667; -0,038231931626795099
433,36; -0,036489225924017474
432,933333333; -0,039092093706128359
432,506666667; -0,036278363317250366
432,08; -0,035376019775868413
431,653333333; -0,036392793059351107
431,226666667; -0,038584087043998849
430,8; -0,036917638033627007
430,373333333; -0,035547606647019031
429,946666667; -0,039687287062405513
429,52; -0,038726966828108278
429,093333333; -0,039143890142440678
428,666666667; -0,039047941565515901
428,24; -0,040959514677524476
427,813333333; -0,040886431932445767
427,386666667; -0,03790412843227884
426,96; -0,042053692042826295
426,533333333; -0,040962059050799839
426,106666667; -0,042146634310478194
425,68; -0,037841491401198996
425,253333333; -0,040444239974023972
424,826666667; -0,041992027312516618
424,4; -0,041582114994524938
423,973333333; -0,04085256904363517
423,546666667; -0,04006606712937881
423,12; -0,043654717504977285
