analysis Fp 100;150;200, baseline, 2026-04-14 10_32_07.scan
Wavelength ( nm );Absorbance
450; -0,003678405424579978
449,573333333; -0,0030416357330977917
449,146666667; -0,0018788577290251851
448,72; -0,0019875264260921688
448,293333333; -0,0048297075554728716
447,866666667; -0,0049878503195936045
447,44; -0,00093060114886648509
447,013333333; -0,0036930772475901098
446,586666667; -0,0058186729438601086
446,16; -0,0044381306506686901
445,733333333; -0,0020142849534756776
445,306666667; -0,0045628743246203373
444,88; -0,0066916816867882197
444,453333333; -0,0045239417813717018
444,026666667; -0,0040350020863117739
443,6; -0,0047679655253897056
443,173333333; -0,0072397259064005057
442,746666667; -0,0038195971865205448
442,32; -0,0034416979178796651
441,893333333; -0,0060369051061577271
441,466666667; -0,0076958267018192982
441,04; -0,0061983172781754654
440,613333333; -0,0041700806468739802
440,186666667; -0,0069086314179004349
439,76; -0,0071174073964347072
439,333333333; -0,005184595938770813
438,906666667; -0,0030257853213718523
438,48; -0,006938836537302877
438,053333333; -0,008944847621021915
437,626666667; -0,006332680583000772
437,2; -0,0072174067609013575
436,773333333; -0,0074349981732670769
436,346666667; -0,008076676167546603
435,92; -0,0067015909589831016
435,493333333; -0,0071968212723728742
435,066666667; -0,0067895520478512298
434,64; -0,0099520348012417641
434,213333333; -0,006234553176910608
433,786666667; -0,0073888110928240821
433,36; -0,0077517731115238466
432,933333333; -0,0095193786546592923
432,506666667; -0,010052584111687517
432,08; -0,0068302522413437039
431,653333333; -0,0073063820600546264
431,226666667; -0,01123295910656367
430,8; -0,010434082709248805
430,373333333; -0,0066534769721354973
429,946666667; -0,0090706832706922823
429,52; -0,0085615888237977906
429,093333333; -0,010880134068424719
428,666666667; -0,0069170440547224581
428,24; -0,011614794842900671
427,813333333; -0,013136561959978154
427,386666667; -0,0099973939359167888
426,96; -0,0083126621320881965
426,533333333; -0,011503817513586883
426,106666667; -0,012998263351613857
425,68; -0,0089548425748967875
425,253333333; -0,010725330561401512
424,826666667; -0,012265637516975117
424,4; -0,01205104868858608
423,973333333; -0,0087142167612937541
423,546666667; -0,01057443674653997
423,12; -0,012133209034801501
422,693333333; -0,012795807793736819
422,266666667; -0,013041726313525867
421,84; -0,0092665636912037611
421,413333333; -0,012633993290365584
420,986666667; -0,013160478323700523
420,56; -0,014711253345007277
420,133333333; -0,011341446079315918
419,706666667; -0,012694136239590335
419,28; -0,013992210850121352
418,853333333; -0,01509391516446805
418,426666667; -0,013579587452112686
418; -0,013036196120087747
417,573333333; -0,015585676766928824
417,146666667; -0,013746150769294842
416,72; -0,014631479047238421
416,293333333; -0,014413750730462667
415,866666667; -0,01856612600385539
415,44; -0,015330045484003062
415,013333333; -0,01353782229125601
414,586666667; -0,014081094414003412
414,16; -0,018193194642658769
413,733333333; -0,015924291685222688
413,306666667; -0,01547841541468916
412,88; -0,014572186395534498
412,453333333; -0,018858216702936109
412,026666667; -0,017872886732211123
411,6; -0,013105028308938336
411,173333333; -0,017947683110835094
410,746666667; -0,018850771710272059
410,32; -0,016718970611686697
409,893333333; -0,014478460885592433
409,466666667; -0,018268490210177776
409,04; -0,019329458475107711
408,613333333; -0,017031786963341379
408,186666667; -0,016042899340401377
407,76; -0,020554173737759834
407,333333333; -0,018557244911784648
406,906666667; -0,016241753473883097
406,48; -0,0185339078307169
406,053333333; -0,019252115860586269
405,626666667; -0,021282976493234379
405,2; -0,019188651815058567
404,773333333; -0,019924672320484536
404,346666667; -0,019683169201032392
403,92; -0,025990627706031225
403,493333333; -0,018228491768237921
403,066666667; -0,01704026572408052
402,64; -0,023993937298657855
402,213333333; -0,024920791387544359
401,786666667; -0,019538406282662051
401,36; -0,019027207046745525
400,933333333; -0,018395971506843408
400,506666667; -0,021915001794699809
400,08; -0,023399945348492282
399,653333333; -0,020050445571556504
399,226666667; -0,025573402643205422
398,8; -0,026176523417222583
398,373333333; -0,021944824606178165
397,946666667; -0,021220039576304889
397,52; -0,025813009589910087
397,093333333; -0,025662401691066972
396,666666667; -0,021313233301041064
396,24; -0,02047927491368489
395,813333333; -0,026026576757440672
395,386666667; -0,029315603896952511
394,96; -0,021466296166187945
394,533333333; -0,023643733933574732
394,106666667; -0,025940364226704773
393,68; -0,027865488082160723
393,253333333; -0,024679727852342175
392,826666667; -0,02391709387303885
392,4; -0,028768176212905665
391,973333333; -0,028385352343302406
391,546666667; -0,022618535906080581
391,12; -0,023916227743047438
390,693333333; -0,029496673494579552
390,266666667; -0,030167128890734529
389,84; -0,024455115199093921
389,413333333; -0,025978842750206801
388,986666667; -0,030705796554681881
388,56; -0,029877301305518161
388,133333333; -0,025585770607010477
387,706666667; -0,03034363500773439
387,28; -0,028939263895161764
386,853333333; -0,031270250678050664
386,426666667; -0,027871022000909129
386; -0,02795150130987015
385,573333333; -0,027511360123776678
385,146666667; -0,034188684076049844
384,72; -0,028142817318430862
384,293333333; -0,025745948776630483
383,866666667; -0,033753708004947723
383,44; -0,032710403203942584
383,013333333; -0,026692323386663983
382,586666667; -0,025253247469701839
382,16; -0,035878632217622081
381,733333333; -0,029327064752565992
381,306666667; -0,025911346077935365
380,88; -0,030297016724966847
380,453333333; -0,036390773952003609
380,026666667; -0,035403855144949044
379,6; -0,02775634825231009
379,173333333; -0,031287446618108478
378,746666667; -0,038622792810195615
378,32; -0,037062674760781518
377,893333333; -0,027495196089165085
377,466666667; -0,031782507896444254
377,04; -0,037014838308103239
376,613333333; -0,038906227797223761
376,186666667; -0,027382595464591913
375,76; -0,028559219092163225
375,333333333; -0,036706887185566833
374,906666667; -0,035018846392652181
374,48; -0,040186014026390993
374,053333333; -0,037175320088845429
373,626666667; -0,032829839736229008
373,2; -0,034231487661673672
372,773333333; -0,052042588591508149
372,346666667; -0,035704813897559695
371,92; -0,023972859606200152
371,493333333; -0,036484502255999904
371,066666667; -0,056025993078766941
370,64; -0,013775469735348477
370,213333333; -0,033407852053619555
369,786666667; -0,028079815209085968
369,36; -0,068910919129704568
368,933333333; -0,036177076399326637
368,506666667; -0,036247335374350639
368,08; -0,03518316522245174
367,653333333; -0,045498106628544324
367,226666667; -0,0200094263999962
366,8; -0,0047276197002453077
366,373333333; -0,029344370588783409
365,946666667; -0,056535925715995722
365,52; -0,019888391718341045
365,093333333; -0,03592671081424887
364,666666667; -0,038345042616117903
364,24; -0,035912532359404052
363,813333333; -0,045005600899323393
363,386666667; -0,016153309494320558
362,96; -0,029789445921865689
362,533333333; -0,048449169844338891
