analysis Fp 100;150;200, baseline, 2026-04-13 09_50_08.scan
Wavelength ( nm );Absorbance
450; -0,0051991851069033146
449,573333333; -0,0060706101357936859
449,146666667; -0,0070521552115678787
448,72; -0,0061518247239292796
448,293333333; -0,0069964476861061825
447,866666667; -0,0086150998249650782
447,44; -0,0092012211680407123
447,013333333; -0,00531836133450288
446,586666667; -0,0066890330053866352
446,16; -0,0070218741893771173
445,733333333; -0,00809704139828628
445,306666667; -0,006072268821299593
444,88; -0,0080120004713542387
444,453333333; -0,010668258182703831
444,026666667; -0,0083505269140001503
443,6; -0,0069936984218669758
443,173333333; -0,010182217694819404
442,746666667; -0,011258000507950486
442,32; -0,010517029091714512
441,893333333; -0,00726174563169606
441,466666667; -0,010431154631078582
441,04; -0,0112778907641758
440,613333333; -0,0093157561495894516
440,186666667; -0,0082567976787702654
439,76; -0,011317124590276501
439,333333333; -0,0091211814433344064
438,906666667; -0,010587014257907083
438,48; -0,0091151436790823711
438,053333333; -0,009081396274269838
437,626666667; -0,010899586603047235
437,2; -0,013558575883506344
436,773333333; -0,011480040848254403
436,346666667; -0,010346582159402028
435,92; -0,012900150381027025
435,493333333; -0,010864703916013942
435,066666667; -0,011741913855074318
434,64; -0,0098424153402482256
434,213333333; -0,014165180735287898
433,786666667; -0,011472544632848714
433,36; -0,0078649977222135358
432,933333333; -0,013265624642372343
432,506666667; -0,013491780497132453
432,08; -0,012121138162908754
431,653333333; -0,0097789745777875099
431,226666667; -0,012964978814126791
430,8; -0,014588276855646133
430,373333333; -0,013244791887698506
429,946666667; -0,011319973506035216
429,52; -0,013003882952036373
429,093333333; -0,014786160551010336
428,666666667; -0,013762579299508998
428,24; -0,013323048129680194
427,813333333; -0,015342528931798431
427,386666667; -0,016910841688509325
426,96; -0,013214908540251124
426,533333333; -0,015094631351529005
426,106666667; -0,013803595677024693
425,68; -0,018703114241355859
425,253333333; -0,014379186555744978
424,826666667; -0,015701143071054881
424,4; -0,015303022228186917
423,973333333; -0,019472444429986822
423,546666667; -0,014827857725322257
423,12; -0,014835272915665828
422,693333333; -0,017901426181195054
422,266666667; -0,016460662707686948
421,84; -0,016818111762403117
421,413333333; -0,015913816168905401
420,986666667; -0,01660009659827251
420,56; -0,019698146730659526
420,133333333; -0,018530473113057246
419,706666667; -0,016809187829493925
419,28; -0,016465095803144682
418,853333333; -0,018395444378258144
418,426666667; -0,019172491505742253
418; -0,019275920465585582
417,573333333; -0,017552085220821183
417,146666667; -0,021842490881680859
416,72; -0,021505696699016946
416,293333333; -0,018127283081412759
415,866666667; -0,018365235999232496
415,44; -0,021542059257624032
415,013333333; -0,020199993625278797
414,586666667; -0,017816713079816481
414,16; -0,021216075867416185
413,733333333; -0,022133499383922246
413,306666667; -0,02005832083522744
412,88; -0,017408771440391393
412,453333333; -0,019721809774643318
412,026666667; -0,022771803662173507
411,6; -0,019072189927098731
411,173333333; -0,017943492159252294
410,746666667; -0,020239533856516889
410,32; -0,022948315367098085
409,893333333; -0,020819673314687006
409,466666667; -0,019138524308809253
409,04; -0,023152954876420887
408,613333333; -0,022272229194641998
408,186666667; -0,022662561386818166
407,76; -0,020239753648642785
407,333333333; -0,022032504901298145
406,906666667; -0,025655264034862253
406,48; -0,023433053866024817
406,053333333; -0,021777871996163916
405,626666667; -0,021608579903849314
405,2; -0,02506742812692881
404,773333333; -0,024074863642449432
404,346666667; -0,02210885286331719
403,92; -0,024251753464346656
403,493333333; -0,026421587914228658
403,066666667; -0,026507552713150487
402,64; -0,024429373443133427
402,213333333; -0,027094798162579686
401,786666667; -0,02715370059013018
401,36; -0,025775752961627423
400,933333333; -0,022710908204328563
400,506666667; -0,027015887200829924
400,08; -0,026099093258388471
399,653333333; -0,028944255784144869
399,226666667; -0,025541173294189611
398,8; -0,026619752869011932
398,373333333; -0,027320636436344491
397,946666667; -0,027784839272491625
397,52; -0,025118837133051859
397,093333333; -0,025796331465265297
396,666666667; -0,033303610980493475
396,24; -0,027421932667495402
395,813333333; -0,027961235493417357
395,386666667; -0,026528451591752378
394,96; -0,034123606979835068
394,533333333; -0,030067173764098159
394,106666667; -0,026159202680000881
393,68; -0,029148040339359072
393,253333333; -0,031880609691138463
392,826666667; -0,030388854444004295
392,4; -0,022996943444037674
391,973333333; -0,030854417011142138
391,546666667; -0,030967205762860626
391,12; -0,030175087973468736
390,693333333; -0,028073571622380781
390,266666667; -0,030922042205937944
389,84; -0,033482972532511243
389,413333333; -0,033633802086102178
388,986666667; -0,029659487307085598
388,56; -0,033836115151651788
388,133333333; -0,036248423159100172
387,706666667; -0,02955524437129748
387,28; -0,030307505279801004
386,853333333; -0,036783941090108317
386,426666667; -0,03717500716446711
386; -0,033943455666284622
385,573333333; -0,028453961014764412
385,146666667; -0,033302124589692374
384,72; -0,03640410676597447
384,293333333; -0,033339921385050035
383,866666667; -0,033402673900135224
383,44; -0,035575363785036812
383,013333333; -0,037897944450368766
382,586666667; -0,035214010626061713
382,16; -0,03078266605736112
381,733333333; -0,034359980374597428
381,306666667; -0,04046255350111462
380,88; -0,036566559225306647
380,453333333; -0,032767310738573988
380,026666667; -0,035568293184065208
379,6; -0,041795663535556679
379,173333333; -0,031892694532877727
378,746666667; -0,033569332212219874
378,32; -0,036202467978023581
377,893333333; -0,042139258235668026
377,466666667; -0,035680361092068624
377,04; -0,030180431902446923
376,613333333; -0,040099922567617158
376,186666667; -0,042897712439279811
375,76; -0,038188725709875283
375,333333333; -0,028210856020493918
374,906666667; -0,039050813764369467
374,48; -0,047992978244865751
374,053333333; -0,010665362700932707
373,626666667; -0,037962500006008003
373,2; -0,049472488462967049
372,773333333; -0,059663243591618911
372,346666667; -0,019343402236718061
371,92; -0,02356605976830408
371,493333333; -0,047998052090391062
371,066666667; -0,044395532458918148
370,64; -0,020361281931413417
370,213333333; -0,023438105359756777
369,786666667; -0,042972099035970872
369,36; -0,041225358843697352
368,933333333; -0,017102170735693412
368,506666667; -0,038892794400502993
368,08; -0,050134878605651696
367,653333333; -0,060945138335033795
367,226666667; -0,016780205071002266
366,8; -0,023364048451244224
366,373333333; -0,036388680338856512
365,946666667; -0,035715553909419002
365,52; -0,0089640850201646929
365,093333333; -0,017746068537441734
364,666666667; -0,062026161700351197
364,24; -0,032015193253738236
363,813333333; -0,028298249468194564
363,386666667; -0,025554049760292831
362,96; -0,066216319799371745
362,533333333; -0,055178195237950013
362,106666667; -0,020138042047679664
361,68; -0,032615344971533594
361,253333333; -0,056637305766355492
360,826666667; -0,059018615632996492
360,4; -0,0063118548133648377
359,973333333; -0,030689468607346025
359,546666667; -0,038711436092932018
359,12; -0,054630350321410219
358,693333333; -0,030068781226745511
358,266666667; -0,0041252835656602855
357,84; -0,062561877071834596
357,413333333; -0,057925164699363617
356,986666667; -0,019212780520380206
356,56; -0,031117266044223869
356,133333333; -0,071257464587645633
355,706666667; -0,062801964580899136
355,28; -0,040366016328227325
354,853333333; -0,01913501136027989
354,426666667; -0,063524469733049913
354; -0,027283502742553346
353,573333333; -0,0090426197277251527
353,146666667; -0,042379833758088147
352,72; -0,082950174808270688
352,293333333; -0,039508610963840528
351,866666667; -0,043188385665419826
351,44; -0,043771650642288086
351,013333333; -0,068445190787313787
350,586666667; -0,068147212266732607
350,16; -0,032608877867379295
349,733333333; -0,017417652532492806
349,306666667; -0,023733958602071899
348,88; -0,045757491141568622
348,453333333; -0,047757841646584059
348,026666667; -0,031787496060096135
347,6; -0,025042325258303501
347,173333333; -0,033709272742364162
346,746666667; -0,05028290674088573
346,32; -0,047043725848060894
345,893333333; -0,022552685812187064
345,466666667; -0,035311996936880648
345,04; -0,050065036862964679
344,613333333; -0,027917485684155103
344,186666667; -0,02768823318191092
343,76; -0,041076719760880502
343,333333333; -0,038585744798101007
342,906666667; -0,024196423590139311
342,48; -0,016524966806290071
342,053333333; -0,036440886557226042
341,626666667; -0,05756660550814139
341,2; -0,025820054113923935
340,773333333; -0,035891342908111266
340,346666667; -0,030308259651220148
339,92; -0,056208372115922577
339,493333333; -0,027840662747614046
339,066666667; -0,026591453701394541
338,64; -0,049415361136221372
338,213333333; -0,053306818008302927
337,786666667; -0,033302798867182168
337,36; -0,026050176471611629
336,933333333; -0,048868697136661511
336,506666667; -0,052289303392012765
336,08; -0,026328938081825473
335,653333333; -0,020606370642894393
335,226666667; -0,039067309349919838
334,8; -0,062147870659612144
334,373333333; -0,027644921094187168
333,946666667; -0,028925100341670253
333,52; -0,065817303955495746
333,093333333; -0,056360282003728439
332,666666667; -0,032227717339966565
332,24; -0,028082592412926197
331,813333333; -0,043219100683975761
331,386666667; -0,050760012119957079
330,96; -0,042724486440377643
330,533333333; -0,03607743233445608
330,106666667; -0,041240401566126218
329,68; -0,056194201111624029
329,253333333; -0,030231239274177167
328,826666667; -0,035285431891767853
328,4; -0,048778809607112159
327,973333333; -0,061523407697524679
327,546666667; -0,038565203547389557
327,12; -0,025059903040721594
326,693333333; -0,054077863693241163
326,266666667; -0,054657537489934176
325,84; -0,025339970365211042
325,413333333; -0,032002169638949765
324,986666667; -0,043653793633014644
324,56; -0,04814060032355981
324,133333333; -0,030884113162816793
323,706666667; -0,039836235344459785
323,28; -0,047171622514775052
322,853333333; -0,054577849805204956
322,426666667; -0,032909583300342049
322; -0,031459029764094149
321,573333333; -0,05414291471241077
321,146666667; -0,051505003124305775
320,72; -0,027009123936323525
320,293333333; -0,030976833775750088
319,866666667; -0,04693483561278141
319,44; -0,047999266534931577
319,013333333; -0,032118089497105068
318,586666667; -0,034339021891554113
318,16; -0,062465459108276097
317,733333333; -0,0516227781771849
317,306666667; -0,040995378047243021
316,88; -0,043102346360756667
316,453333333; -0,053280677646381391
316,026666667; -0,050896044820459292
315,6; -0,038690548390168569
315,173333333; -0,041214905679247071
314,746666667; -0,044154834002290408
314,32; -0,048796467482930206
313,893333333; -0,03331153839831217
313,466666667; -0,039634823799199137
313,04; -0,048459470272040166
312,613333333; -0,045178018510265497
312,186666667; -0,03497137874370275
311,76; -0,042238928377685801
311,333333333; -0,049942731857299597
310,906666667; -0,049914646893625736
310,48; -0,034639503806890036
310,053333333; -0,042617514729541089
309,626666667; -0,048149429261698504
309,2; -0,05000416934478389
308,773333333; -0,034445535391638825
308,346666667; -0,043622419238197367
307,92; -0,057450216263442065
307,493333333; -0,045523308217466321
307,066666667; -0,037867426872310275
306,64; -0,045225463807700782
306,213333333; -0,060486599802956835
305,786666667; -0,058698907494389101
305,36; -0,038525272160740698
304,933333333; -0,034987382590941057
304,506666667; -0,056657709181183687
304,08; -0,040747761726359494
303,653333333; -0,038215927779731824
303,226666667; -0,045504920184645713
302,8; -0,049687784165128278
302,373333333; -0,047692000865850945
301,946666667; -0,037016279995443407
301,52; -0,037262462079686365
301,093333333; -0,057449642568765856
300,666666667; -0,049966126680283759
300,24; 1296,7957091927531
analysis Fp 100;150;200, Fp3125, 2026-04-13 09_52_10.scan
Wavelength ( nm );Absorbance
450; 0,11558529734611511
449,573333333; 0,11766231805086136
449,146666667; 0,11662603914737701
448,72; 0,11460434645414405
448,293333333; 0,11858287453651471
447,866666667; 0,12183289229869793
447,44; 0,11808792501687976
447,013333333; 0,11605182290077252
446,586666667; 0,11931832879781734
446,16; 0,1201874986290923
445,733333333; 0,11690600216388694
445,306666667; 0,11657116562128227
444,88; 0,12256602942943604
444,453333333; 0,1236911565065372
444,026666667; 0,11918966472148848
443,6; 0,11741047352552755
443,173333333; 0,12595701217651376
442,746666667; 0,12615694105625044
442,32; 0,12344175577163544
441,893333333; 0,1196273565292385
441,466666667; 0,12628005445003465
441,04; 0,12518545985221655
440,613333333; 0,12127965688705523
440,186666667; 0,12277676165104243
439,76; 0,12898220121860179
439,333333333; 0,12288308888673807
438,906666667; 0,12334629148244963
438,48; 0,1253373771905904
438,053333333; 0,12608909606933494
437,626666667; 0,12457427382469424
437,2; 0,12828105688095093
436,773333333; 0,12826026976108518
436,346666667; 0,12777815759182035
435,92; 0,12850832939147888
435,493333333; 0,12774121761321869
435,066666667; 0,12584517896175493
434,64; 0,12718896567821772
434,213333333; 0,13056071102618996
433,786666667; 0,12836769223212682
433,36; 0,12286435067654523
432,933333333; 0,13216656446456701
432,506666667; 0,12993696331977619
432,08; 0,12752766907214916
431,653333333; 0,12535360455513567
431,226666667; 0,13143160939216675
