analysis Fp 100;150;200, VariasiMB 0,8g, 2026-04-14 14_50_08.scan
Wavelength ( nm );Absorbance
450; 0,069519363343715668
449,573333333; 0,06730787456035614
449,146666667; 0,064195543527603149
448,72; 0,068079002201557243
448,293333333; 0,068717479705810852
447,866666667; 0,071048341691493808
447,44; 0,069701522588729733
447,013333333; 0,068790927529334994
446,586666667; 0,068543419241905629
446,16; 0,071711666882037783
445,733333333; 0,070447482168674649
445,306666667; 0,071132510900497506
444,88; 0,071375273168086492
444,453333333; 0,069452412426472432
444,026666667; 0,07213477045297538
443,6; 0,068983107805252006
443,173333333; 0,068814262747765961
442,746666667; 0,072266824543474967
442,32; 0,069414645433425959
441,893333333; 0,069554544985294273
441,466666667; 0,069372177124023382
441,04; 0,069241113960742728
440,613333333; 0,068823859095572634
440,186666667; 0,067333884537222666
439,76; 0,072332583367824846
439,333333333; 0,072883889079093614
438,906666667; 0,072290495038030478
438,48; 0,068440571427346331
438,053333333; 0,070033192634584587
437,626666667; 0,073127068579195972
437,2; 0,071694798767567097
436,773333333; 0,072313062846659712
436,346666667; 0,070968411862849828
435,92; 0,070522122085095063
435,493333333; 0,071289196610448899
435,066666667; 0,06898277997970699
434,64; 0,070466734468941916
434,213333333; 0,076719209551807402
433,786666667; 0,071947745978831773
433,36; 0,071434363722803734
432,933333333; 0,074137933552263807
432,506666667; 0,072685591876504183
432,08; 0,069869078695776909
431,653333333; 0,072907373309134688
431,226666667; 0,072110339999199691
430,8; 0,072844192385670831
430,373333333; 0,070318728685381526
429,946666667; 0,072657689452171936
429,52; 0,073229096829892162
429,093333333; 0,074131518602370466
428,666666667; 0,073505982756607441
428,24; 0,067468620836741475
427,813333333; 0,073060281574726757
427,386666667; 0,073605522513387797
426,96; 0,072109647095206439
426,533333333; 0,07464638352393986
426,106666667; 0,073667317628865248
425,68; 0,077246025204648933
425,253333333; 0,070059686899186416
424,826666667; 0,070989929139614771
424,4; 0,07149227708578465
423,973333333; 0,074157983064648395
423,546666667; 0,072049595415592943
423,12; 0,072560176253318204
422,693333333; 0,072160623967652299
422,266666667; 0,075399599969383543
421,84; 0,073004849255082549
421,413333333; 0,07133816182613377
420,986666667; 0,071362078189854919
420,56; 0,074529342353340161
420,133333333; 0,07215268164873144
419,706666667; 0,072285257279874254
419,28; 0,073138304054737188
418,853333333; 0,073196217417713316
418,426666667; 0,07108473032712874
418; 0,070721678435804916
417,573333333; 0,072140015661714019
417,146666667; 0,070732414722448803
416,72; 0,074301064014432316
416,293333333; 0,072964236140250618
415,866666667; 0,072671398520472316
415,44; 0,074095830321309286
415,013333333; 0,072668239474297652
414,586666667; 0,073247313499445757
414,16; 0,070607408881184802
413,733333333; 0,069196395576004863
413,306666667; 0,071523450315007675
412,88; 0,076048873364911548
412,453333333; 0,069126732647429329
412,026666667; 0,074305012822149463
411,6; 0,073442466557023842
411,173333333; 0,072474174201479211
410,746666667; 0,068117745220672418
410,32; 0,073397144675247328
409,893333333; 0,069883696734907449
409,466666667; 0,070916846394540767
409,04; 0,071800298988825617
408,613333333; 0,074669629335399626
408,186666667; 0,072986006736759368
407,76; 0,074750736355779376
407,333333333; 0,073790751397607643
406,906666667; 0,07287591695784755
406,48; 0,069486916065228277
406,053333333; 0,074578993022428333
405,626666667; 0,068936325609683755
405,2; 0,068836092948920763
404,773333333; 0,071833044290544601
404,346666667; 0,072666361927987033
403,92; 0,073015950620163098
403,493333333; 0,068548493087296825
403,066666667; 0,070567362010480333
402,64; 0,07110463827847574
402,213333333; 0,06770720332862401
401,786666667; 0,073450967669489567
401,36; 0,074463970959181058
400,933333333; 0,07240121811627305
400,506666667; 0,06850832700729681
400,08; 0,069677144289022067
399,653333333; 0,071679823100575135
399,226666667; 0,074781529605376262
398,8; 0,070354662835597673
398,373333333; 0,070239827036872468
397,946666667; 0,075551904737936298
397,52; 0,070881746709340207
397,093333333; 0,068536542356016097
396,666666667; 0,069194227457058305
396,24; 0,073218472301965681
395,813333333; 0,07516182214019132
395,386666667; 0,066459506750120648
394,96; 0,071179404854782191
394,533333333; 0,073813125491154444
394,106666667; 0,077967338263964653
393,68; 0,070184908807281732
393,253333333; 0,07150621712206616
392,826666667; 0,067663080990332025
392,4; 0,073386922478659092
391,973333333; 0,067918322980401499
391,546666667; 0,067165292799483023
391,12; 0,070358082652090551
390,693333333; 0,069909840822217795
390,266666667; 0,069266274571421454
389,84; 0,070107109844688612
389,413333333; 0,071363367140323097
388,986666667; 0,080738298594919405
388,56; 0,071063138544540855
388,133333333; 0,065469592809696789
387,706666667; 0,071374572813520318
387,28; 0,074204511940449899
386,853333333; 0,065381772816180281
386,426666667; 0,065123267471816446
386; 0,072665341198457287
385,573333333; 0,076394356787173837
385,146666667; 0,067470207810386651
384,72; 0,06306388974192545
384,293333333; 0,070811688899998018
383,866666667; 0,072000481188274124
